Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Country population,Percent of country's population,Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Natal,,Brazil,South America,,,,,"1,537,211",,,,,,208372000,,,,,,,-5.75,-35.2
Piracicaba,,Brazil,South America,,,,,"1,452,691",,,,,,208372000,,,,,,,-22.75,-47.6
Norte/Nordeste Catarinense,,Brazil,South America,,,,,"1,363,854",,,,,,208372000,,,,,,,-26.25,-49.35
Maceió,,Brazil,South America,,,,,"1,314,254",,,,,,208372000,,,,,,,-9.65,-44.1
João Pessoa,,Brazil,South America,,,,,"1,268,360",,,,,,208372000,,,,,,,-7.1,-34.85
Teresina,,Brazil,South America,,,,,"1,199,941",,,,,,208372000,,,,,,,-5.1,-42.8
Florianópolis,,Brazil,South America,,,,,"1,152,115",,,,,,208372000,,,,,,,-27.59,-48.55
Londrina,,Brazil,South America,,,,,"1,085,479",,,,,,208372000,,,,,,,-23.3,-51.15
Sofia,,Bulgaria,Europe,,,,,"1,316,557",,"186,207,286",4.47%,,,7101859,,,,,,,42.7,23.3
Ouagadougou,,Burkina Faso,Africa,,,,,"2,741,000",,#REF!,#REF!,,,19632417,,,,,,,12,2
Yangon (Rangoon),Yangon Region,Burma,Asia,,,,,"5,209,541",,"190,264,843",4.57%,,,53370000,,,,,,,16.9,96.2
Mandalay,Mandalay Region,Burma,Asia,,,,,"1,225,546",,"195,474,384",4.69%,,,53370000,,,,,,,21.95,96.1
Naypyidaw (Nay Pyi Taw),Naypyidaw Union Territory,Burma,Asia,,,,,"1,160,242",,"196,699,930",4.72%,,,53370000,,,,,,,19.75,96.1
Bago,Bago Region,Burma,Asia,,,,,"491,434",,"197,860,172",4.75%,,,53370000,,,,,,,17.3333,96.5
Taunggyi,Shan State,Burma,Asia,,,,,"381,639",,"198,351,606",4.76%,,,53370000,,,,,,,20.8,97.05
Monywa,Sagaing Region,Burma,Asia,,,,,"372,095",,"198,733,245",4.77%,,,53370000,,,,,,,22.1,95.1
Meiktila,Mandalay Region,Burma,Asia,,,,,"309,663",,"199,105,340",4.78%,,,53370000,,,,,,,20.9,95.9
Mawlamyine,Mon State,Burma,Asia,,,,,"289,388",,"199,415,003",4.79%,,,53370000,,,,,,,16.5,97.6
Pathein,Ayeyarwady Region,Burma,Asia,,,,,"287,071",,"199,704,391",4.80%,,,53370000,,,,,,,16.75,94.75
Mergui,Tanintharyi Region,Burma,Asia,,,,,"284,489",,"199,991,462",4.80%,,,53370000,,,,,,,12.4,98.6
Pyay,Bago Region,Burma,Asia,,,,,"251,643",,"200,275,951",4.81%,,,53370000,,,,,,,18.8,95.2
Sittwe,Rakhine State,Burma,Asia,,,,,"147,899",,"200,527,594",4.82%,,,53370000,,,,,,,20.15,92.9
Bujumbura,,Burundi,Africa,,,,,"800,000",,,,,,10400938,,,,,,,-3,29
Phnom Penh,,Cambodia,Asia,,,,,"1,501,725",,"201,475,493",4.84%,,,15848495,,,,,,,11.55,104.9
Yaoundé,,Cameroon,Africa,,,,,"3,066,000",,#REF!,#REF!,,,23248044,,,,,,,4,12
Douala,,Cameroon,Africa,,,,,"2,943,000",,#REF!,#REF!,,,23248044,,,,,,,4,10
Toronto,Ontario,Canada,North America,,,,,"5,928,040",#VALUE!,"5,928,040",#VALUE!,#REF!,#REF!,36742000,,,,,,,43.6,-79.4
Montreal,Quebec,Canada,North America,,,,,"4,098,927",#VALUE!,"4,098,927",#VALUE!,#REF!,#REF!,36742000,,,,,,,45.5,-73.34
Vancouver,British Columbia,Canada,North America,,,,,"2,463,431",#VALUE!,"2,463,431",#VALUE!,#REF!,#REF!,36742000,,,,,,,49.25,-123.1
Calgary,Alberta,Canada,North America,,,,,"1,392,609",#VALUE!,"1,392,609",#VALUE!,#REF!,#REF!,36742000,,,,,,,51.05,-114.06
Ottawa,Quebec,Canada,North America,,,,,"1,323,783",#VALUE!,"1,323,783",#VALUE!,#REF!,#REF!,36742000,,,,,,,45.4,-75.7
Edmonton,Alberta,Canada,North America,,,,,"1,321,426",#VALUE!,"1,321,426",#VALUE!,#REF!,#REF!,36742000,,,,,,,53.54,-113.5
Quebec City,Quebec,Canada,North America,,,,,"800,296",#VALUE!,"800,296",#VALUE!,#REF!,#REF!,36742000,,,,,,,46.8,-71.2
Winnipeg,Manitoba,Canada,North America,,,,,"778,489",#VALUE!,"778,489",#VALUE!,#REF!,#REF!,36742000,,,,,,,49.9,-97.13
Hamilton,Ontario,Canada,North America,,,,,"747,545",#VALUE!,"747,545",#VALUE!,#REF!,#REF!,36742000,,,,,,,43.25,-79.85
Kitchener-Cambridge-Waterloo,Ontario,Canada,North America,,,,,"523,894",#VALUE!,"523,894",#VALUE!,#REF!,#REF!,36742000,,,,,,,43.45,-80.48
London,Ontario,Canada,North America,,,,,"494,069",#VALUE!,"494,069",#VALUE!,#REF!,#REF!,36742000,,,,,,,42.9837,-81.2497
St. Catherine's,Ontario,Canada,North America,,,,,"406,074",#VALUE!,"406,074",#VALUE!,#REF!,#REF!,36742000,,,,,,,43.2,-79.24
Halifax,Nova Scotia,Canada,North America,,,,,"403,390",#VALUE!,"403,390",#VALUE!,#REF!,#REF!,36742000,,,,,,,44.515,-63.506
Oshawa,Ontario,Canada,North America,,,,,"379,848",#VALUE!,"379,848",#VALUE!,#REF!,#REF!,36742000,,,,,,,43.9,-78.85
Victoria,British Columbia,Canada,North America,,,,,"367,770",#VALUE!,"367,770",#VALUE!,#REF!,#REF!,36742000,,,,,,,48.422,-123.365
Windsor,Ontario,Canada,North America,,,,,"329,144",#VALUE!,"329,144",#VALUE!,#REF!,#REF!,36742000,,,,,,,42.29,-83
Saskatoon,Saskatchewan,Canada,North America,,,,,"295,095",#VALUE!,"295,095",#VALUE!,#REF!,#REF!,36742000,,,,,,,52.14,-106.68
Bangui,,Central African Republic,Africa,,,,,"734,350",,#REF!,#REF!,,,4659080,,,,,,,4,19
Ndjamena,,Chad,Africa,,,,,"1,260,000",,#REF!,#REF!,,,14900000,,,,,,,12,15
Santiago,,Chile,South America,,,,,"6,683,852",,,,,,17373831,,,,,,,-33.4,-70.666666
Guangzhou,Guangdong,China,Asia,,1,40000,"40,000.00","44,294,245","1,771,769,800,000",#REF!,#REF!,,,1387990000,,,,,,Yes,23.18333333,113.5
Shanghai,Shanghai,China,Asia,,2,1230,615.00,"35,965,403","44,237,445,690","284,012,495",6.82%,,,1387990000,,,,Guangzhou,1,Yes,31,122
Chongqing,Chongqing,China,Asia,,3,1000,333.33,"30,165,500","30,165,500,000","319,977,898",7.68%,,,1387990000,,,,Guangzhou,1,Yes,29.5,106.4
Beijing,Beijing,China,Asia,,8,1100,137.50,"21,500,000","23,650,000,000","319,977,898",7.68%,,,1387990000,,,,Shanghai,2,Yes,40,116.5
Hangzhou,Zhejiang,China,Asia,,10,200,20.00,"21,102,000","4,220,400,000","371,643,398",8.92%,,,1387990000,,,,Shanghai,2,Yes,30.25,120.25
Wuhan,Hubei,China,Asia,,12,560,46.67,"19,780,644","11,077,160,640","392,745,398",9.43%,,,1387990000,,,,Hangzhou,5,Yes,30.5,114.3333
Chengdu,Sichuan,China,Asia,,17,270,15.88,"18,000,000","4,860,000,000","412,526,042",9.91%,,,1387990000,,,,Chongqing,3,Yes,30.66667,104
Tianjin,Tianjin,China,Asia,,19,130,6.84,"16,000,000","2,080,000,000","430,526,042",10.34%,,,1387990000,,,,Beijing,4,Yes,39,117
Shenzhen,Guangdong,China,Asia,,20,100,5.00,"14,668,426","1,466,842,600","446,526,042",10.72%,,,1387990000,,,,Guangzhou,,,22.5,114
Xi'an,Shaanxi,China,Asia,,25,560,22.40,"13,569,700","7,599,032,000","461,194,468",11.08%,,,1387990000,,,,Chongqing,,Yes,34.25,108.75
Jinan,Shandong,China,Asia,,28,275,9.82,"13,000,000","3,575,000,000","474,764,168",11.40%,,,1387990000,,,,Tianjin,,Yes,36.5,117.1
Nanjing,Jiangsu,China,Asia,,29,270,9.31,"12,652,000","3,416,040,000","487,764,168",11.71%,,,1387990000,,,,Shanghai,,Yes,32,119
Shenyang,Liaoning,China,Asia,,31,600,19.35,"12,263,612","7,358,167,200","500,416,168",12.02%,,,1387990000,,,,Tianjin,,Yes,41.75,123.5
Harbin,Heilongjiang,China,Asia,,33,530,16.06,"12,000,000","6,360,000,000","474,764,168",11.40%,,,1387990000,,,,Shenyang,,Yes,45.9,126.5
Shantou,Guangdong,China,Asia,,35,340,9.71,"11,630,447","3,954,351,980","524,679,780",12.60%,,,1387990000,,,,Shenzhen,,,23.3333,116.75
Ganzhou,Jiangxi,China,Asia,,41,375,9.15,"9,606,300","3,602,362,500","536,310,227",12.88%,,,1387990000,,,,Guangzhou,,Yes,25.8,114.9
Wenzhou,Zhejiang,China,Asia,,45,270,6.00,"9,122,102","2,462,967,540","545,916,527",13.11%,,,1387990000,,,,Hangzhou,,,28,120.6666
Qingdao,Shandong,China,Asia,,46,300,6.52,"9,046,200","2,713,860,000","555,038,629",13.33%,,,1387990000,,,,Jinan,,,36,120.5
Quanzhou,Fujian,China,Asia,,53,330,6.23,"8,128,533","2,682,415,890","564,084,829",13.55%,,,1387990000,,,,Shantou,,Yes,24.9,118.75
Hong Kong,Hong Kong,China,Asia,,57,48,0.84,"7,374,900","353,995,200","572,213,362",13.74%,,,1387990000,,,,Shenzhen,,Yes,22.33333,114
Changsha,Hunan,China,Asia,,58,560,9.66,"7,311,500","4,094,440,000","579,588,262",13.92%,,,1387990000,,,,Guangzhou,,Yes,28.25,113
