"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT003","Linz","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","Units",,,167.94,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","Units",,,168.62,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","Units",,,169.31,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","Units",,,170,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","Units",,,170.7,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","Units",,,171.41,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","Units",,,172.12,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","Units",,,172.84,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","Units",,,173.57,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2013","2013","RATIO","Ratio","0","Units",,,174.31,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2014","2014","RATIO","Ratio","0","Units",,,175.05,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2000","2000","PER","Persons","0","Units",,,2251422,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,2273476,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,2295819,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,2318449,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,2341379,,
